Date,USA ESG SELECTION P-SERIES
2024-10-11,2542.472490141445
2024-10-14,2568.191060169489
2024-10-15,2545.2624544640908
2024-10-16,2561.28400038064
2024-10-17,2557.7017996579784
2024-10-18,2566.3759752969345
2024-10-21,2565.743075376099
2024-10-22,2564.7280088626244
2024-10-23,2542.2622237156625
2024-10-24,2553.974471521136
2024-10-25,2557.477237027197
2024-10-28,2559.333132920951
2024-10-29,2563.6162919798207
2024-10-30,2561.2832100838973
2024-10-31,2501.673521992239
2024-11-01,2515.8359323223535
2024-11-04,2510.4912337320184
2024-11-05,2541.252817747778
2024-11-06,2607.2003744869517
2024-11-07,2630.757708501153
2024-11-08,2643.040864772424
