Date,EM ESG SELECTION P-SERIES
2024-10-11,1341.8333386112267
2024-10-14,1341.2317671894873
2024-10-15,1328.873351011087
2024-10-16,1320.7308746662984
2024-10-17,1310.363062687199
2024-10-18,1341.647832943041
2024-10-21,1332.149633633077
2024-10-22,1324.5701021727384
2024-10-23,1323.5386246954401
2024-10-24,1315.64052252433
2024-10-25,1317.8402877413012
2024-10-28,1314.276129808656
2024-10-29,1312.123209365566
2024-10-30,1298.2576258455174
2024-10-31,1288.7523036768453
2024-11-01,1295.7084368963601
2024-11-04,1303.1792631560058
2024-11-05,1316.011460265471
2024-11-06,1306.9243075654156
2024-11-07,1315.0822182932386
2024-11-08,1312.4123659402235
